smiles,Tb,Tm
C,-3.29733,-2.24956
CCC,-2.21807,-2.31965
CCCC,-1.8425,-1.61234
CCCCC,-1.51247,-1.48936
CCCCCC,-1.21722,-0.99632
CCCCCCC,-0.94917,-0.92796
CCCCCCCC,-0.70289,-0.44337
CCCCCCCCC,-0.47558,-0.3965
CCCCCCCCCC,-0.26489,-0.05481
CCCCCCCCCCC,-0.06803,0.00366
CCCCCCCCCCCC,0.11618,0.23327
CCCCCCCCCCCCC,0.28901,0.29318
CCCCCCCCCCCCCCC,0.60703,0.51175
CCCCCCCCCCCCCCCCC,0.87445,0.68417
CCCCCCCCCCCCCCCCCC,1.00798,0.77375
CCCCCCCCCCCCCCCCCCC,1.14052,0.82693
CCCCCCCCCCCCCCCCCCCC,1.22933,0.89529
CC(C)C,-1.94396,-1.91705
CCC(C)C,-1.58674,-1.92163
CC(C)C(C)C,-1.31416,-1.46385
CCCC(C)C,-1.29384,-1.83134
CCC(C)C(C)C,-1.02678,-1.51846
CCC(C)(C)C(C)C,-0.80146,-1.07644
CC(C)CC(C)(C)C,-0.94167,-1.16889
CC=C,-2.26866,-2.28439
CCC=C,-1.89472,-2.2864
C/C=C\C,-1.80465,-1.62337
CCCC=C,-1.56731,-1.99803
CCCCC=C,-1.26484,-1.63369
CCCCCC=C,-0.99163,-1.33342
CCCCCCC=C,-0.74237,-1.08776
CCCCCCCC=C,-0.51109,-0.79524
CCCCCCCCC=C,-0.29633,-0.57953
CC(=C)C,-1.90087,-1.65433
CCC(=C)C,-1.55674,-1.60159
CC=C(C)C,-1.48989,-1.54712
CC(=C)C=C,-1.53054,-1.72069
C#C,-2.59951,-0.79151
CC#C,-2.04777,-1.10152
CC(C)C#C,-1.57626,-0.91549
CCC#CC,-1.33124,-1.18236
CCCCC#C,-1.19382,-1.52218
CCCC#CC,-1.07466,-0.9076
CCC#CCC,-1.10465,-1.10711
CCCCCC#C,-0.93679,-0.78993
CCCCCCC#C,-0.6981,-0.76872
CC1CCCC1,-1.18931,-1.6711
CCC1CCCC1,-0.90309,-1.61406
C1CCCCC1,-1.10899,0.46388
CC1CCCCC1,-0.92631,-1.44393
CC1(CCCCC1)C,-0.75818,-0.10985
CCC1CCCCC1,-0.64724,-1.22521
CC1=CCCC1,-1.15344,-1.44336
C1CCC=CC1,-1.08866,-1.1127
CC1=CC=CC=C1C,-0.53331,0.00954
CC1=CC(=CC=C1)C,-0.58119,-0.31567
CCCC1=CC=CC=C1,-0.39951,-1.05638
CC1=CC(=C(C=C1)C)C,-0.30817,-0.27453
CC1=CC(=CC(=C1)C)C,-0.34991,-0.27095
C1=CC=C2C=CC=CC2=C1,0.131,1.52134
C1=CC=C(C=C1)C2=CC=CC=C2,0.4707,1.36125
CO,-1.25445,-1.02957
CCO,-1.13112,-1.26491
CCCO,-0.96073,-1.43934
CCCCO,-0.7748,-0.90932
CC(C)O,-1.09517,-0.89341
CC(C)(C)O,-1.09408,0.73893
CCCCCO,-0.61092,-0.75224
CCCCCCO,-0.41866,-0.26436
CCCCCCCO,-0.23842,-0.12003
CC(CO)O,-0.14455,-0.48981
C1=CC=C(C=C1)O,-0.19533,0.95606
CC1=CC=CC=C1O,-0.11248,0.81431
CC1=CC(=CC=C1)O,-0.01093,0.54558
COC,-2.06123,-1.6324
CCCOC,-1.4879,-1.62466
CC(C)OC,-1.56008,-1.71123
CCCCOC,-1.20873,-1.2877
CC(C)COC,-1.30929,-1.35421
CCOCC,-1.52711,-1.2963
CCCOCC,-1.2661,-1.44981
CCOC(C)C,-1.29673,-1.53824
COC1=CC=CC=C1,-0.45046,-0.16732
C1=CC=C(C=C1)OC2=CC=CC=C2,0.49139,0.75512
C=O,-2.01154,-1.06927
CCCCCC=O,-0.67307,-0.45211
CCCCCCCC=O,-0.27872,-0.00666
CCCCCCCCCC=O,0.07264,0.2992
CC(=O)C,-1.33061,-0.98715
CCCC(=O)C,-0.91421,-0.73733
