smiles,docking_score
COc1ccc([C@@H](C)NC(=O)c2ccc(=O)n(C)n2)cc1Br,-28.46
COc1ccc([C@H](C)NC(=O)c2ccc(=O)n(C)n2)cc1Br,-35.09
C[C@@H](C(=O)Nc1cnccc1OC(C)(C)C)c1cccc(F)c1,-37.92
C[C@H](C(=O)Nc1cnccc1OC(C)(C)C)c1cccc(F)c1,-20.28
CC[C@@H](C)NC(=O)C(=O)Nc1ccc(OCCN2CCCCC2)cc1,-26.61
CC[C@H](C)NC(=O)C(=O)Nc1ccc(OCCN2CCCCC2)cc1,-34.47
CNS(=O)(=O)c1cccc([C@@H](C)NC(=O)c2ccccc2C)c1,-35.33
CNS(=O)(=O)c1cccc([C@H](C)NC(=O)c2ccccc2C)c1,-26.84
CCOC(=O)Cn1cccc(NC(=O)N[C@@H]2CCC[C@H](CC)C2)c1=O,-16.5
CCOC(=O)Cn1cccc(NC(=O)N[C@H]2CCC[C@H](CC)C2)c1=O,-7.83
COC(=O)c1cccc([C@@H](NCc2cccc(C)c2)C(=O)OC)c1,-32.33
COC(=O)c1cccc([C@H](NCc2cccc(C)c2)C(=O)OC)c1,-14.08
CC[C@@H]1CCCN(C(=O)C[C@@H](NC(C)=O)c2c(F)cccc2F)C1,-21.47
CC[C@@H]1CCCN(C(=O)C[C@H](NC(C)=O)c2c(F)cccc2F)C1,-28.15
NC(=O)C[C@@H](NC(=O)c1cccc([N+](=O)[O-])c1N)C1CCCCC1,-33.38
NC(=O)C[C@H](NC(=O)c1cccc([N+](=O)[O-])c1N)C1CCCCC1,-40.0
Cc1cccc(C)c1NC(=O)CN1CCCC[C@@H]1CCO,-31.31
Cc1cccc(C)c1NC(=O)CN1CCCC[C@H]1CCO,-43.47
COC(=O)[C@@H](c1cc(F)c(F)c(F)c1)N(C)Cc1ccc(OC)cc1,-28.83
COC(=O)[C@H](c1cc(F)c(F)c(F)c1)N(C)Cc1ccc(OC)cc1,-34.16
NC(=O)C[C@@H](NC(=O)c1cc(Cl)ccn1)C1CCCCC1,-21.32
NC(=O)C[C@H](NC(=O)c1cc(Cl)ccn1)C1CCCCC1,-29.58
CC(C)C(=O)NC[C@@H]1CCCN(C(=O)/C=C/c2ccccc2Cl)C1,-27.92
CC(C)C(=O)NC[C@H]1CCCN(C(=O)/C=C/c2ccccc2Cl)C1,-19.98
CCOC(=O)CC[C@@H]1CCCN(CC(=O)Nc2ccc(C)c(C)c2)C1,-38.4
CCOC(=O)CC[C@H]1CCCN(CC(=O)Nc2ccc(C)c(C)c2)C1,-54.09
CCCOc1ncccc1CN[C@@H](C(N)=O)c1ccc(C#N)cc1,-34.26
CCCOc1ncccc1CN[C@H](C(N)=O)c1ccc(C#N)cc1,-24.14
CCOc1cc(F)ccc1NC(=O)N[C@@H]1CCCC[C@@H]1C(N)=O,-39.61
CCOc1cc(F)ccc1NC(=O)N[C@H]1CCCC[C@@H]1C(N)=O,-32.55
COC(=O)N1CCC[C@@H](C(=O)N[C@@H](C#N)c2ccccc2Cl)C1,-26.03
COC(=O)N1CCC[C@@H](C(=O)N[C@H](C#N)c2ccccc2Cl)C1,-17.71
COC(=O)N1CCC[C@H](C(=O)N[C@@H](C#N)c2ccccc2Cl)C1,-10.1
COC(=O)N1CCC[C@H](C(=O)N[C@H](C#N)c2ccccc2Cl)C1,-37.43
CC(C)[C@@H](C)NC(=O)C1CCN(C(=O)NCc2ccccc2F)CC1,-33.85
CC(C)[C@H](C)NC(=O)C1CCN(C(=O)NCc2ccccc2F)CC1,-18.9
