smiles,top_score
BrC1([C@@H]2CC23CC3)CC1,-4.6
BrC1([C@H]2CC23CC3)CC1,-5.0
Br[C@@H]1CC/C=C\CCC1,-4.1
Br[C@H]1CC/C=C\CCC1,-5.3
Br[C@@H]1CN=C2SCCN2C1,-4.9
Br[C@H]1CN=C2SCCN2C1,-4.4
Br[C@@H]1COC[N+]2(CCCC2)C1,-3.7
Br[C@H]1COC[N+]2(CCCC2)C1,-4.2
BrC[C@@H]1CC2CCN1CC2,-4.4
BrC[C@H]1CC2CCN1CC2,-4.7
BrC/C=C/[C@@H]1CCCOC1,-5.3
BrC/C=C/[C@H]1CCCOC1,-5.0
BrCC[C@@H]1CN=CN1,-3.8
BrCC[C@H]1CN=CN1,-4.3
C#CC#CC#C[C@@H]1COCCO1,-5.2
C#CC#CC#C[C@H]1COCCO1,-5.6
C#CC#C[C@@H](O)CO,-4.2
C#CC#C[C@H](O)CO,-4.7
C#CC#C/N=N/[C@@H](C)C(C)C,-5.0
C#CC#C/N=N/[C@H](C)C(C)C,-4.7
C#CC(=C)[C@@H](O)CCc1ccccc1,-6.5
C#CC(=C)[C@H](O)CCc1ccccc1,-6.8
C#CC(=C)[C@@H]1CCC(=O)N1,-5.6
C#CC(=C)[C@H]1CCC(=O)N1,-5.1
C#CC(=C)CN1C(=C)C[C@@H](S)C1=C,-5.5
C#CC(=C)CN1C(=C)C[C@H](S)C1=C,-4.9
C#CC(=O)N(C)[C@@H](C)CN,-4.5
C#CC(=O)N(C)[C@H](C)CN,-4.0
C#CC(=O)N(C)[C@@H](CC)CN,-4.8
C#CC(=O)N(C)[C@H](CC)CN,-4.3
C#CC(=O)N1CCC[C@@H](C)C1,-5.3
C#CC(=O)N1CCC[C@H](C)C1,-4.7
C#CC(=O)N1CCN([C@@H](C)CN)CC1,-4.8
C#CC(=O)N1CCN([C@H](C)CN)CC1,-5.5
C#CC(=O)N1CCNC[C@@H](O)C1,-5.4
C#CC(=O)N1CCNC[C@H](O)C1,-4.0
C#CC(=O)N[C@@H](CN)C(C)(C)C,-4.8
C#CC(=O)N[C@H](CN)C(C)(C)C,-4.1
C#CC(=O)N[C@@H](CN)C1CCCC1,-5.7
C#CC(=O)N[C@H](CN)C1CCCC1,-5.2
C#CC(=O)NC[C@@H](C)C(=O)N1CCNCC1,-5.5
C#CC(=O)NC[C@H](C)C(=O)N1CCNCC1,-5.9
C#CC(=O)NC[C@@H]1COCCN1,-5.4
C#CC(=O)NC[C@H]1COCCN1,-4.9
C#CC(=O)NCC[C@@H](O)CC,-4.8
C#CC(=O)NCC[C@H](O)CC,-5.1
C#C[C@@H](C(=O)O)c1cnccn1,-5.1
C#C[C@H](C(=O)O)c1cnccn1,-5.4
C#CC(C)(C)N[C@@H](C)CS(C)(=O)=O,-4.0
C#CC(C)(C)N[C@H](C)CS(C)(=O)=O,-3.6
C#C[C@@](C)(CC)NCC(=O)C(C)(C)C,-4.7
C#C[C@](C)(CC)NCC(=O)C(C)(C)C,-4.4
C#C[C@@](C)(CC)OC(=O)CC(C)C,-5.1
C#C[C@](C)(CC)OC(=O)CC(C)C,-4.8
C#C[C@@](C)(N=[N+]=[N-])N1CCN(C)CC1,-4.2
C#C[C@](C)(N=[N+]=[N-])N1CCN(C)CC1,-4.9
C#C[C@@](C)(O)c1ccc(C#N)cc1,-5.8
C#C[C@](C)(O)c1ccc(C#N)cc1,-6.2
C#C[C@@](C)(O)c1cccc(C#N)c1,-5.3
C#C[C@](C)(O)c1cccc(C#N)c1,-5.9
C#C[C@@](C)(O)c1cnccn1,-4.7
C#C[C@](C)(O)c1cnccn1,-5.0
C#C/C(C)=C/C[C@@H](C)C#[N+]C,-4.7
C#C/C(C)=C/C[C@H](C)C#[N+]C,-5.1
C#C/C(C)=C\C[C@@H]1C=CN(C)C1,-5.4
C#C/C(C)=C\C[C@H]1C=CN(C)C1,-5.7
C#C[C@@H](C)Cc1ccc(C(C)(F)F)cc1,-7.0
C#C[C@H](C)Cc1ccc(C(C)(F)F)cc1,-7.5
C#C[C@@H](C)Cc1ccc([N+](=O)[O-])cc1,-6.4
C#C[C@H](C)Cc1ccc([N+](=O)[O-])cc1,-6.8
C#C[C@@H](C)N(C(=O)CCl)c1ccccc1,-5.4
C#C[C@H](C)N(C(=O)CCl)c1ccccc1,-4.4
C#C[C@@H](C)N(N)c1nc2ccccc2s1,-6.5
C#C[C@H](C)N(N)c1nc2ccccc2s1,-6.0
C#C[C@@H](C)/N=C(\N)NC(C)(C)C,-4.9
C#C[C@H](C)/N=C(\N)NC(C)(C)C,-4.5
C#C[C@@H](C)NC(=O)C(C)(C)C#N,-4.1
C#C[C@H](C)NC(=O)C(C)(C)C#N,-3.8
C#C[C@@H](C)NC(=O)C(C)C,-4.8
C#C[C@H](C)NC(=O)C(C)C,-4.5
C#C[C@@H](C)NC(=O)/C=C/c1ccco1,-6.1
C#C[C@H](C)NC(=O)/C=C/c1ccco1,-5.8
C#C[C@@H](C)NC(=O)CS(C)(=O)=O,-4.4
C#C[C@H](C)NC(=O)CS(C)(=O)=O,-4.1
C#C[C@@H](C)NC(=O)CSC(C)(C)C,-5.1
C#C[C@H](C)NC(=O)CSC(C)(C)C,-4.7
C#C[C@@H](C)NC(=O)Cc1cccc(F)c1F,-6.6
C#C[C@H](C)NC(=O)Cc1cccc(F)c1F,-7.1
C#C[C@@H](C)NC(=O)c1cc(C)cc(C)c1,-5.3
C#C[C@H](C)NC(=O)c1cc(C)cc(C)c1,-5.9
C#C[C@@H](C)NC(=O)c1cc(C)cc(Cl)c1,-5.4
C#C[C@H](C)NC(=O)c1cc(C)cc(Cl)c1,-5.8
C#C[C@@H](C)NC(=O)c1cc(C)ccc1OC,-5.2
C#C[C@H](C)NC(=O)c1cc(C)ccc1OC,-5.6
C#C[C@@H](C)NC(=O)c1cc(F)cc(F)c1,-6.4
C#C[C@H](C)NC(=O)c1cc(F)cc(F)c1,-6.8
C#C[C@@H](C)NC(=O)c1ccc(C)s1,-5.6
C#C[C@H](C)NC(=O)c1ccc(C)s1,-5.3
C#C[C@@H](C)NC(=O)c1ccc2ncccc2c1,-6.9
C#C[C@H](C)NC(=O)c1ccc2ncccc2c1,-7.2
C#C[C@@H](C)NC(=O)c1cccc(C)c1Cl,-6.0
C#C[C@H](C)NC(=O)c1cccc(C)c1Cl,-5.7
C#C[C@@H](C)NC(=O)c1cccc(C)c1F,-6.4
C#C[C@H](C)NC(=O)c1cccc(C)c1F,-6.1
C#C[C@@H](C)NC(=O)c1cccnc1OC,-5.2
C#C[C@H](C)NC(=O)c1cccnc1OC,-5.8
C#C[C@@H](C)NC(=O)c1cccs1,-5.5
C#C[C@H](C)NC(=O)c1cccs1,-5.2
C#C[C@@H](C)NC(=O)c1ccn[nH]1,-5.3
C#C[C@H](C)NC(=O)c1ccn[nH]1,-5.7
C#C[C@@H](C)Nc1c(N)n(CC)c(=O)[nH]c1=O,-6.7
C#C[C@H](C)Nc1c(N)n(CC)c(=O)[nH]c1=O,-6.1
C#C[C@@H](C)Nc1ccc(C(=O)N(C)C)cn1,-5.3
C#C[C@H](C)Nc1ccc(C(=O)N(C)C)cn1,-5.6
C#C[C@@H](C)Nc1ccc(C(F)(F)F)nn1,-6.7
C#C[C@H](C)Nc1ccc(C(F)(F)F)nn1,-5.9
C#C[C@@H](C)Nc1ccc([N+](=O)[O-])c(C)n1,-6.1
C#C[C@H](C)Nc1ccc([N+](=O)[O-])c(C)n1,-5.7
C#C[C@@H](C)Nc1ccc2nccnc2n1,-6.3
C#C[C@H](C)Nc1ccc2nccnc2n1,-5.8
C#C[C@@H](C)Nc1ncnc2ccccc12,-6.2
C#C[C@H](C)Nc1ncnc2ccccc12,-6.5
C#C[C@@H](C)OC(=O)c1cc(C(C)C)[nH]n1,-6.3
C#C[C@H](C)OC(=O)c1cc(C(C)C)[nH]n1,-5.9
C#C[C@@H](C)OC(=O)c1cc(C)ns1,-5.6
C#C[C@H](C)OC(=O)c1cc(C)ns1,-5.2
C#C[C@@H](C)OC(=O)c1ccc(C(C)=O)cc1,-6.9
C#C[C@H](C)OC(=O)c1ccc(C(C)=O)cc1,-6.6
C#C[C@@H](C)OC(=O)c1cccc(COC)c1,-6.4
C#C[C@H](C)OC(=O)c1cccc(COC)c1,-6.1
C#C[C@@H](C)Oc1ccc(F)cc1Cl,-5.3
C#C[C@H](C)Oc1ccc(F)cc1Cl,-5.7
C#C[C@@H](C)Oc1nc2ccccc2cc1C#N,-6.4
C#C[C@H](C)Oc1nc2ccccc2cc1C#N,-6.9
C#C[C@@H](C)Oc1ncnc(N)c1Cl,-5.4
C#C[C@H](C)Oc1ncnc(N)c1Cl,-5.9
C#C[C@@H](C)SC(C)C,-3.7
C#C[C@H](C)SC(C)C,-4.0
C#C[C@@](C=C(C)C)(CC)OOC(C)(C)C,-4.3
C#C[C@](C=C(C)C)(CC)OOC(C)(C)C,-3.8
C#C[C@@H](CC(=O)N=[N+]=[N-])C(C)=O,-4.8
C#C[C@H](CC(=O)N=[N+]=[N-])C(C)=O,-5.2
C#C[C@@H](CC(=O)OC)Cc1ccc(O)cc1,-6.7
C#C[C@H](CC(=O)OC)Cc1ccc(O)cc1,-6.2
C#C[C@@H](CC)NC(=O)c1cc(C)cc(F)c1,-5.8
C#C[C@H](CC)NC(=O)c1cc(C)cc(F)c1,-6.3
C#C[C@@H](CC)NC(=O)c1ccccc1F,-6.6
C#C[C@H](CC)NC(=O)c1ccccc1F,-6.3
C#C[C@@H](CC)NC1Cc2ccccc2C1,-7.2
C#C[C@H](CC)NC1Cc2ccccc2C1,-6.8
C#C[C@@H](CC)Nc1ccc(C)cc1[N+](=O)[O-],-5.3
C#C[C@H](CC)Nc1ccc(C)cc1[N+](=O)[O-],-5.6
C#C[C@@H](CC)c1nnc(C)s1,-5.2
C#C[C@H](CC)c1nnc(C)s1,-4.9
C#C[C@@H](CCC)C(C)C,-4.2
C#C[C@H](CCC)C(C)C,-4.5
C#C[C@@H](CCC)C/C(C)=C/C,-5.3
C#C[C@H](CCC)C/C(C)=C/C,-5.0
C#C[C@@H](CCC)Cc1ccccc1,-6.4
C#C[C@H](CCC)Cc1ccccc1,-6.1
C#C[C@@H](CCC)NC(=O)/C(C)=C/CC,-5.4
C#C[C@H](CCC)NC(=O)/C(C)=C/CC,-5.7
C#C[C@@H](CCC)NC(=O)C1(CC)CCCC1,-5.3
C#C[C@H](CCC)NC(=O)C1(CC)CCCC1,-5.0
C#C[C@@H](CCC)NC(=O)C1=NNC(=O)CC1,-6.1
C#C[C@H](CCC)NC(=O)C1=NNC(=O)CC1,-6.4
C#C[C@@H](CCC)NC(=O)C=C(C)C,-5.2
C#C[C@H](CCC)NC(=O)C=C(C)C,-5.5
C#C[C@@H](CCC)NC(=O)COC(C)(C)C,-5.0
C#C[C@H](CCC)NC(=O)COC(C)(C)C,-5.3
C#C[C@@H](CCC)NC(=O)Cn1cccn1,-5.4
C#C[C@H](CCC)NC(=O)Cn1cccn1,-5.7
C#C[C@@H](CCC)NC(=O)c1cccc(C)n1,-5.9
C#C[C@H](CCC)NC(=O)c1cccc(C)n1,-5.6
C#C[C@@H](CCC)NC(=O)c1cn[nH]n1,-5.6
C#C[C@H](CCC)NC(=O)c1cn[nH]n1,-5.9
C#C[C@@H](CCC)NC(=O)c1ncn[nH]1,-5.7
C#C[C@H](CCC)NC(=O)c1ncn[nH]1,-6.0
C#C[C@@H](CCC1(C)OCCO1)C(C)C,-4.8
C#C[C@H](CCC1(C)OCCO1)C(C)C,-5.1
C#C[C@@H](CCCC(=O)O)c1cnccn1,-6.3
C#C[C@H](CCCC(=O)O)c1cnccn1,-6.0
C#C[C@@H](CCCC)OS(=O)(=O)O,-4.5
C#C[C@H](CCCC)OS(=O)(=O)O,-4.8
C#C[C@@H](CCCc1ncccn1)C(=O)O,-6.1
C#C[C@H](CCCc1ncccn1)C(=O)O,-6.4
C#C[C@@H](CO)c1cccnc1,-5.3
C#C[C@H](CO)c1cccnc1,-5.7
C#C[C@@H](C[NH+]1CCCCC1)[NH+]1CCCCC1,-6.4
C#C[C@H](C[NH+]1CCCCC1)[NH+]1CCCCC1,-6.1
C#C[C@@H](Cc1c(F)cccc1F)NN,-6.2
C#C[C@H](Cc1c(F)cccc1F)NN,-6.6
C#C[C@@H](Cc1cc(C)ccc1C)NN,-6.4
C#C[C@H](Cc1cc(C)ccc1C)NN,-6.7
C#C[C@@H](Cc1ccc(F)c(F)c1)NN,-6.6
C#C[C@H](Cc1ccc(F)c(F)c1)NN,-7.0
C#C[C@@H](Cc1ccc2ccccc2c1)NN,-8.0
C#C[C@H](Cc1ccc2ccccc2c1)NN,-8.3
C#C[C@@H](Cc1cn[nH]n1)N=[N+]=[N-],-5.2
C#C[C@H](Cc1cn[nH]n1)N=[N+]=[N-],-5.7
C#C[C@@](N)(/C=C/CCN)C(=O)OC,-5.2
C#C[C@](N)(/C=C/CCN)C(=O)OC,-4.9
C#C[C@@](N)(CCCCN)C(=O)O,-5.1
C#C[C@](N)(CCCCN)C(=O)O,-4.7
